,title,url,score
0,MOVO: a dApp for DLT-based Smart Mobility,http://arxiv.org/abs/2104.13813v2,0.320326938
1,"Estimation of Physical Activity Level and Ambient Condition Thresholds
  for Respiratory Health using Smartphone Sensors",http://arxiv.org/abs/2112.09068v1,0.319498736
2,"Dynamic Lambda-Field: A Counterpart of the Bayesian Occupancy Grid for
  Risk Assessment in Dynamic Environments",http://arxiv.org/abs/2103.04795v2,0.314188333
3,"The Best Thresholds for Rapid Identification of Episodic and Chronic
  Homeless Shelter Use",http://arxiv.org/abs/2105.01042v2,0.309359013
4,LEAP: Learning Articulated Occupancy of People,http://arxiv.org/abs/2104.06849v1,0.304909868
5,"AggFT: Low-Cost Fault-Tolerant Smart Meter Aggregation with Proven
  Termination and Privacy",http://arxiv.org/abs/2102.09429v1,0.304570448
6,Market Value of Differentially-Private Smart Meter Data,http://arxiv.org/abs/2104.09898v1,0.299514843
7,Image-Based Parking Space Occupancy Classification: Dataset and Baseline,http://arxiv.org/abs/2107.12207v1,0.299216976
8,"Analysing the Correlation of Geriatric Assessment Scores and Activity in
  Smart Homes",http://arxiv.org/abs/2103.05971v1,0.29735737
9,"Identity and Posture Recognition in Smart Beds with Deep Multitask
  Learning",http://arxiv.org/abs/2104.02159v1,0.295892743
10,"UNBLOCK: Low Complexity Transient Blockage Recovery for Mobile mm-Wave
  Devices",http://arxiv.org/abs/2104.02658v1,0.295545801
11,"Dynamic Time Warping Clustering to Discover Socio-Economic
  Characteristics in Smart Water Meter Data",http://arxiv.org/abs/2112.13778v2,0.292829372
12,"""I'm Just Overwhelmed"": Investigating Physical Therapy Accessibility and
  Technology Interventions for People with Disabilities and/or Chronic
  Conditions",http://arxiv.org/abs/2202.02281v1,0.292762795
13,Extremely Low Footprint End-to-End ASR System for Smart Device,http://arxiv.org/abs/2104.05784v5,0.292050299
14,"Wearable Health Monitoring System for Older Adults in a Smart Home
  Environment",http://arxiv.org/abs/2107.09509v1,0.292023274
15,"Investigating Underlying Drivers of Variability in Residential Energy
  Usage Patterns with Daily Load Shape Clustering of Smart Meter Data",http://arxiv.org/abs/2102.11027v1,0.291654463
16,"Real-time Recognition of Yoga Poses using computer Vision for Smart
  Health Care",http://arxiv.org/abs/2201.07594v1,0.291316553
17,Deep Learning for Click-Through Rate Estimation,http://arxiv.org/abs/2104.10584v1,0.291161069
18,Vulnerability of Appearance-based Gaze Estimation,http://arxiv.org/abs/2103.13134v1,0.290774473
19,Occupancy Estimation from Thermal Images,http://arxiv.org/abs/2110.07796v1,0.290649635
20,Measuring Cognitive Status from Speech in a Smart Home Environment,http://arxiv.org/abs/2110.09421v1,0.289662997
21,"An Exponential Improvement on the Memorization Capacity of Deep
  Threshold Networks",http://arxiv.org/abs/2106.07724v1,0.28961936
22,"Understanding occupants' behaviour, engagement, emotion, and comfort
  indoors with heterogeneous sensors and wearables",http://arxiv.org/abs/2105.06637v2,0.289593374
23,"Assessment of Deep Learning-based Heart Rate Estimation using Remote
  Photoplethysmography under Different Illuminations",http://arxiv.org/abs/2107.13193v1,0.28915171
24,"Machine Learning Approach to Uncovering Residential Energy Consumption
  Patterns Based on Socioeconomic and Smart Meter Data",http://arxiv.org/abs/2104.05154v2,0.288888968
25,"Mobilkit: A Python Toolkit for Urban Resilience and Disaster Risk
  Management Analytics using High Frequency Human Mobility Data",http://arxiv.org/abs/2107.14297v2,0.288375479
26,"Accelerometer-based Bed Occupancy Detection for Automatic, Non-invasive
  Long-term Cough Monitoring",http://arxiv.org/abs/2202.03936v1,0.288339185
27,"Voice-Based Conversational Agents for self-reporting fluid consumption
  and sleep quality",http://arxiv.org/abs/2202.02186v1,0.288144144
28,"High Fidelity Fingerprint Generation: Quality, Uniqueness, and Privacy",http://arxiv.org/abs/2105.10403v1,0.287143857
29,"Prediction of Pedestrian Spatiotemporal Risk Levels for Intelligent
  Vehicles: A Data-driven Approach",http://arxiv.org/abs/2111.03822v1,0.286746092
30,"Frailty Care Robot for Elderly and Its Application for Physical and
  Psychological Support",http://arxiv.org/abs/2111.10646v1,0.286499528
